RuleID,CaseID,Artifact,EntryType,FileName,OSPath,Verified,AdditionalRuleIDs
DR-MFT-TOOL-023,COVERAGE-DR-MFT-TOOL-023,MFT,File,powerline.exe,C:\Replay\powerline.exe,True,
DR-MFT-TOOL-024,COVERAGE-DR-MFT-TOOL-024,MFT,File,PSAttack.exe,C:\Replay\PSAttack.exe,True,
DR-MFT-TOOL-025,COVERAGE-DR-MFT-TOOL-025,MFT,File,cradle.py,C:\Replay\cradle.py,True,
DR-MFT-TOOL-026,COVERAGE-DR-MFT-TOOL-026,MFT,File,Quasar.exe,C:\Replay\Quasar.exe,True,
DR-MFT-TOOL-027,COVERAGE-DR-MFT-TOOL-027,MFT,File,RuralBishop.exe,C:\Replay\RuralBishop.exe,True,
DR-MFT-TOOL-028,COVERAGE-DR-MFT-TOOL-028,MFT,File,SafetyDump.exe,C:\Replay\SafetyDump.exe,True,
DR-MFT-TOOL-029,COVERAGE-DR-MFT-TOOL-029,MFT,File,SafetyKatz.exe,C:\Replay\SafetyKatz.exe,True,
DR-MFT-TOOL-030,COVERAGE-DR-MFT-TOOL-030,MFT,File,seatbelt.exe,C:\Replay\seatbelt.exe,True,
DR-MFT-TOOL-031,COVERAGE-DR-MFT-TOOL-031,MFT,File,sharpdump.exe,C:\Replay\sharpdump.exe,True,
DR-MFT-TOOL-032,COVERAGE-DR-MFT-TOOL-032,MFT,File,SharPersist.exe,C:\Replay\SharPersist.exe,True,
DR-MFT-TOOL-033,COVERAGE-DR-MFT-TOOL-033,MFT,File,SharpStomp.exe,C:\Replay\SharpStomp.exe,True,
DR-MFT-TOOL-034,COVERAGE-DR-MFT-TOOL-034,MFT,File,SharpUp.exe,C:\Replay\SharpUp.exe,True,
DR-MFT-TOOL-035,COVERAGE-DR-MFT-TOOL-035,MFT,File,SharpView.exe,C:\Replay\SharpView.exe,True,
DR-MFT-TOOL-036,COVERAGE-DR-MFT-TOOL-036,MFT,File,sharpwmi.exe,C:\Replay\sharpwmi.exe,True,
DR-MFT-TOOL-037,COVERAGE-DR-MFT-TOOL-037,MFT,File,SharpZeroLogon.exe,C:\Replay\SharpZeroLogon.exe,True,
DR-MFT-TOOL-038,COVERAGE-DR-MFT-TOOL-038,MFT,File,vulnrecon.exe,C:\Replay\vulnrecon.exe,True,
DR-MFT-XFER-001,COVERAGE-DR-MFT-XFER-001,MFT,File,OneDrive.exe,C:\Replay\OneDrive.exe,True,
DR-MFT-TOOL-039,COVERAGE-DR-MFT-TOOL-039,MFT,File,mimikatz.exe,C:\Replay\mimikatz.exe,True,
DR-MFT-CRED-001,COVERAGE-DR-MFT-CRED-001,MFT,File,AccountRestore.exe,C:\Replay\AccountRestore.exe,True,
DR-MFT-CRED-002,COVERAGE-DR-MFT-CRED-002,MFT,File,procdump.exe,C:\Replay\procdump.exe,True,
DR-MFT-CRED-003,COVERAGE-DR-MFT-CRED-003,MFT,File,fgdump.exe,C:\Replay\fgdump.exe,True,
DR-MFT-CRED-004,COVERAGE-DR-MFT-CRED-004,MFT,File,Potato.exe,C:\Replay\Potato.exe,True,
DR-MFT-CRED-005,COVERAGE-DR-MFT-CRED-005,MFT,File,PetitPotam.exe,C:\Replay\PetitPotam.exe,True,
DR-MFT-CRED-006,COVERAGE-DR-MFT-CRED-006,MFT,File,gosecretsdump_win_v0A3A1.exe,C:\Replay\gosecretsdump_win_v0A3A1.exe,True,
DR-MFT-CRYP-001,COVERAGE-DR-MFT-CRYP-001,MFT,File,WinRing0.sys,C:\Replay\WinRing0.sys,True,
DR-MFT-XFER-002,COVERAGE-DR-MFT-XFER-002,MFT,File,FreeFileSync.exe,C:\Replay\FreeFileSync.exe,True,
DR-MFT-XFER-003,COVERAGE-DR-MFT-XFER-003,MFT,File,filezilla.exe,C:\Replay\filezilla.exe,True,
DR-MFT-XFER-004,COVERAGE-DR-MFT-XFER-004,MFT,File,restic.exe,C:\Replay\restic.exe,True,
DR-MFT-XFER-005,COVERAGE-DR-MFT-XFER-005,MFT,File,plink.exe,C:\Replay\plink.exe,True,DR-MFT-RMM-256
DR-MFT-EVA-001,COVERAGE-DR-MFT-EVA-001,MFT,File,dControl.exe,C:\Replay\dControl.exe,True,DR-MFT-TOOL-008
DR-MFT-EVA-002,COVERAGE-DR-MFT-EVA-002,MFT,File,CleanWipe.exe,C:\Replay\CleanWipe.exe,True,
DR-MFT-EVA-003,COVERAGE-DR-MFT-EVA-003,MFT,File,EDRSilencer.exe,C:\Replay\EDRSilencer.exe,True,
DR-MFT-IMPA-001,COVERAGE-DR-MFT-IMPA-001,MFT,File,dcrypt.exe,C:\Replay\dcrypt.exe,True,
DR-MFT-DISC-001,COVERAGE-DR-MFT-DISC-001,MFT,File,ns.exe,C:\Replay\ns.exe,True,
DR-MFT-DISC-002,COVERAGE-DR-MFT-DISC-002,MFT,File,ADGet.exe,C:\Replay\ADGet.exe,True,
DR-MFT-DISC-003,COVERAGE-DR-MFT-DISC-003,MFT,File,BloodHound.exe,C:\Replay\BloodHound.exe,True,
DR-MFT-DISC-004,COVERAGE-DR-MFT-DISC-004,MFT,File,everything.exe,C:\Replay\everything.exe,True,
DR-MFT-DISC-005,COVERAGE-DR-MFT-DISC-005,MFT,File,ad_ous.txt,C:\Replay\ad_ous.txt,True,
DR-MFT-EXEC-001,COVERAGE-DR-MFT-EXEC-001,MFT,File,PAExec,C:\Windows\PAEXE,True,
DR-MFT-EXEC-002,COVERAGE-DR-MFT-EXEC-002,MFT,File,nircmd.exe,C:\Replay\nircmd.exe,True,
DR-MFT-EXEC-003,COVERAGE-DR-MFT-EXEC-003,MFT,File,NSudo.exe,C:\Replay\NSudo.exe,True,
DR-MFT-EXEC-004,COVERAGE-DR-MFT-EXEC-004,MFT,File,psexec.exe,C:\Replay\psexec.exe,True,DR-MFT-RMM-309
DR-MFT-EXEC-005,COVERAGE-DR-MFT-EXEC-005,MFT,File,LuciRoot.exe,C:\Replay\LuciRoot.exe,True,
DR-MFT-TOOL-040,COVERAGE-DR-MFT-TOOL-040,MFT,File,execute.bat,C:\WINDOWS\aaaaaaaa.bat,True,
DR-MFT-TOOL-041,COVERAGE-DR-MFT-TOOL-041,MFT,File,PowerScan.ps1,C:\Replay\PowerScan.ps1,True,
DR-MFT-TOOL-042,COVERAGE-DR-MFT-TOOL-042,MFT,File,PsMapExec.ps1,C:\Replay\PsMapExec.ps1,True,
DR-MFT-PRIV-001,COVERAGE-DR-MFT-PRIV-001,MFT,File,winPEAS.exe,C:\Replay\winPEAS.exe,True,
DR-MFT-PRIV-002,COVERAGE-DR-MFT-PRIV-002,MFT,File,KrbRelayUp.exe,C:\Replay\KrbRelayUp.exe,True,
DR-MFT-POL-001,COVERAGE-DR-MFT-POL-001,MFT,File,KMSPico.exe,C:\Replay\KMSPico.exe,True,
DR-MFT-DEV-001,COVERAGE-DR-MFT-DEV-001,MFT,File,devtunnel.exe,C:\Replay\devtunnel.exe,True,
DR-MFT-DEV-002,COVERAGE-DR-MFT-DEV-002,MFT,File,ngrok.exe,C:\Replay\ngrok.exe,True,DR-MFT-XFER-002|DR-MFT-RMM-349
DR-MFT-VPN-001,COVERAGE-DR-MFT-VPN-001,MFT,File,NordVPN.exe,C:\Replay\NordVPN.exe,True,
DR-MFT-MASQ-001,COVERAGE-DR-MFT-MASQ-001,MFT,File,svchost.exe,C:\Users\A\AppData\,True,DR-MFT-SLOC-003
DR-MFT-MASQ-002,COVERAGE-DR-MFT-MASQ-002,MFT,File,A.doc.exe,C:\Users\,True,
DR-MFT-CRED-007,COVERAGE-DR-MFT-CRED-007,MFT,File,ntds.dit,C:\Replay\ntds.dit,True,
DR-MFT-SLOC-001,COVERAGE-DR-MFT-SLOC-001,MFT,File,aaaaaaaaaaaaaaaa.exe,C:\Users\A\AppData\Local\aaaaaaaaaaaaaaaa\,True,
DR-MFT-SLOC-002,COVERAGE-DR-MFT-SLOC-002,MFT,File,.exe,C:\Users\A\AppData\Local\aaaaaaaa-aaaa-aaaa-aaaa-aaaaaaaaaaaa\,True,
DR-MFT-SLOC-003,COVERAGE-DR-MFT-SLOC-003,MFT,File,.exe,C:\Users\A\AppData\,True,
DR-MFT-PERS-001,COVERAGE-DR-MFT-PERS-001,MFT,File,.exe,C:\Users\A\AppData\Roaming\Microsoft\Windows\Start Menu\Programs\Startup\,True,
DR-MFT-PERS-002,COVERAGE-DR-MFT-PERS-002,MFT,File,.lnk,C:\Users\A\AppData\Roaming\Microsoft\Windows\Start Menu\Programs\Startup\,True,
DR-MFT-SLOC-004,COVERAGE-DR-MFT-SLOC-004,MFT,File,.exe,C:\$Recycle.Bin\,True,
DR-MFT-SFILE-001,COVERAGE-DR-MFT-SFILE-001,MFT,File,A.exe,C:\Replay\A.exe,True,
DR-MFT-SLOC-005,COVERAGE-DR-MFT-SLOC-005,MFT,File,.exe,C:\Users\Public\,True,
DR-MFT-SLOC-006,COVERAGE-DR-MFT-SLOC-006,MFT,File,.msi,C:\Users\Public\,True,
DR-MFT-SLOC-007,COVERAGE-DR-MFT-SLOC-007,MFT,File,.exe,C:\Users\A\AppData\Local\Temp\A,True,
DR-MFT-SLOC-008,COVERAGE-DR-MFT-SLOC-008,MFT,File,.msi,C:\Users\A\AppData\Local\Temp\A,True,
DR-MFT-SLOC-009,COVERAGE-DR-MFT-SLOC-009,MFT,File,.exe,C:\Users\A\AppData\Local\A,True,
DR-MFT-SLOC-010,COVERAGE-DR-MFT-SLOC-010,MFT,File,.msi,C:\Users\A\AppData\Local\A,True,
DR-MFT-SLOC-011,COVERAGE-DR-MFT-SLOC-011,MFT,File,.exe,C:\ProgramData\A,True,
DR-MFT-SLOC-012,COVERAGE-DR-MFT-SLOC-012,MFT,File,.msi,C:\ProgramData\A,True,
DR-MFT-SLOC-013,COVERAGE-DR-MFT-SLOC-013,MFT,File,.exe,C:\PerfLogs\,True,
DR-MFT-SLOC-014,COVERAGE-DR-MFT-SLOC-014,MFT,File,.msi,C:\PerfLogs\,True,
DR-MFT-WEB-001,COVERAGE-DR-MFT-WEB-001,MFT,File,BrowsingHistoryView.exe,C:\Replay\BrowsingHistoryView.exe,True,
DR-MFT-RMM-001,COVERAGE-DR-MFT-RMM-001,MFT,File,Remote Workforce Client.exe,C:\Replay\Remote Workforce Client.exe,True,DR-MFT-RMM-165
DR-MFT-RMM-002,COVERAGE-DR-MFT-RMM-002,MFT,File,ctes.exe,C:\Replay\ctes.exe,True,
DR-MFT-RMM-004,COVERAGE-DR-MFT-RMM-004,MFT,File,AcronisCyberProtectConnectAgent.exe,C:\Replay\AcronisCyberProtectConnectAgent.exe,True,
DR-MFT-RMM-006,COVERAGE-DR-MFT-RMM-006,MFT,File,ConnectAppSetup.exe,C:\Replay\ConnectAppSetup.exe,True,
DR-MFT-RMM-007,COVERAGE-DR-MFT-RMM-007,MFT,File,AeroAdmin.exe,C:\Replay\AeroAdmin.exe,True,
DR-MFT-RMM-008,COVERAGE-DR-MFT-RMM-008,MFT,File,alitask.exe,C:\Replay\alitask.exe,True,
DR-MFT-RMM-009,COVERAGE-DR-MFT-RMM-009,MFT,File,AlpemixService.exe,C:\Replay\AlpemixService.exe,True,
DR-MFT-RMM-220,COVERAGE-DR-MFT-RMM-220,MFT,File,AMMYY_Admin.exe,C:\Replay\AMMYY_Admin.exe,True,
DR-MFT-RMM-011,COVERAGE-DR-MFT-RMM-011,MFT,File,ManualLauncher.exe,C:\Replay\ManualLauncher.exe,True,
DR-MFT-RMM-013,COVERAGE-DR-MFT-RMM-013,MFT,File,apc_host.exe,C:\Replay\apc_host.exe,True,
DR-MFT-RMM-222,COVERAGE-DR-MFT-RMM-222,MFT,File,aspia_client.exe,C:\Replay\aspia_client.exe,True,
DR-MFT-RMM-015,COVERAGE-DR-MFT-RMM-015,MFT,File,AgentPackageNetworkDiscovery.exe,C:\Replay\AgentPackageNetworkDiscovery.exe,True,
DR-MFT-RMM-016,COVERAGE-DR-MFT-RMM-016,MFT,File,auvik.agent.exe,C:\Replay\auvik.agent.exe,True,
DR-MFT-RMM-017,COVERAGE-DR-MFT-RMM-017,MFT,File,AweSun.exe,C:\Replay\AweSun.exe,True,
DR-MFT-RMM-020,COVERAGE-DR-MFT-RMM-020,MFT,File,beamyourscreen-host.exe,C:\Replay\beamyourscreen-host.exe,True,
DR-MFT-RMM-226,COVERAGE-DR-MFT-RMM-226,MFT,File,BASupAppElev.exe,C:\Replay\BASupAppElev.exe,True,
DR-MFT-RMM-022,COVERAGE-DR-MFT-RMM-022,MFT,File,Beinsync.exe,C:\Replay\Beinsync.exe,True,
DR-MFT-RMM-023,COVERAGE-DR-MFT-RMM-023,MFT,File,bomgar-pac-.exe,C:\Replay\bomgar-pac-.exe,True,
DR-MFT-RMM-024,COVERAGE-DR-MFT-RMM-024,MFT,File,BvSshClient-Inst.exe,C:\Replay\BvSshClient-Inst.exe,True,
DR-MFT-RMM-228,COVERAGE-DR-MFT-RMM-228,MFT,File,BvSshServer-Inst.exe,C:\Replay\BvSshServer-Inst.exe,True,
DR-MFT-RMM-026,COVERAGE-DR-MFT-RMM-026,MFT,File,AEMAgent.exe,C:\Replay\AEMAgent.exe,True,
DR-MFT-RMM-027,COVERAGE-DR-MFT-RMM-027,MFT,File,ctiserv.exe,C:\Replay\ctiserv.exe,True,
DR-MFT-RMM-028,COVERAGE-DR-MFT-RMM-028,MFT,File,remoting_host.exe,C:\Replay\remoting_host.exe,True,
DR-MFT-RMM-029,COVERAGE-DR-MFT-RMM-029,MFT,File,cloudflared.exe,C:\Replay\cloudflared.exe,True,
DR-MFT-RMM-232,COVERAGE-DR-MFT-RMM-232,MFT,File,itsmagent.exe,C:\Replay\itsmagent.exe,True,DR-MFT-RMM-078
DR-MFT-RMM-031,COVERAGE-DR-MFT-RMM-031,MFT,File,ltsvc.exe,C:\Replay\ltsvc.exe,True,DR-MFT-RMM-274|DR-MFT-RMM-275
DR-MFT-RMM-032,COVERAGE-DR-MFT-RMM-032,MFT,File,connectwisechat-customer.exe,C:\Replay\connectwisechat-customer.exe,True,DR-MFT-RMM-165
DR-MFT-RMM-234,COVERAGE-DR-MFT-RMM-234,MFT,File,bbl.exe,C:\Replay\bbl.exe,True,
DR-MFT-RMM-353,COVERAGE-DR-MFT-RMM-353,MFT,File,ControlR.Agent.exe,C:\Replay\ControlR.Agent.exe,True,
DR-MFT-RMM-033,COVERAGE-DR-MFT-RMM-033,MFT,File,CrossLoopConnect.exe,C:\Replay\CrossLoopConnect.exe,True,
DR-MFT-RMM-034,COVERAGE-DR-MFT-RMM-034,MFT,File,PCIVIDEO.EXE,C:\Replay\PCIVIDEO.EXE,True,
DR-MFT-RMM-036,COVERAGE-DR-MFT-RMM-036,MFT,File,dwrcst.exe,C:\Replay\dwrcst.exe,True,
DR-MFT-RMM-037,COVERAGE-DR-MFT-RMM-037,MFT,File,ultimate_.exe,C:\Replay\ultimate_.exe,True,
DR-MFT-RMM-038,COVERAGE-DR-MFT-RMM-038,MFT,File,DSGuest.exe,C:\Replay\DSGuest.exe,True,
DR-MFT-RMM-039,COVERAGE-DR-MFT-RMM-039,MFT,File,desktopnow.exe,C:\Replay\desktopnow.exe,True,
DR-MFT-RMM-239,COVERAGE-DR-MFT-RMM-239,MFT,File,RemoteDesktopManager.exe,C:\Replay\RemoteDesktopManager.exe,True,
DR-MFT-RMM-040,COVERAGE-DR-MFT-RMM-040,MFT,File,ddsystem.exe,C:\Replay\ddsystem.exe,True,
DR-MFT-RMM-041,COVERAGE-DR-MFT-RMM-041,MFT,File,Domotz Pro Desktop App Setup.exe,C:\Replay\Domotz Pro Desktop App Setup.exe,True,
DR-MFT-RMM-042,COVERAGE-DR-MFT-RMM-042,MFT,File,DragonDisk.exe,C:\Replay\DragonDisk.exe,True,
DR-MFT-RMM-240,COVERAGE-DR-MFT-RMM-240,MFT,File,DuetDisp.exe,C:\Replay\DuetDisp.exe,True,
DR-MFT-RMM-043,COVERAGE-DR-MFT-RMM-043,MFT,File,Duplicati.Server.exe,C:\Replay\Duplicati.Server.exe,True,
DR-MFT-RMM-044,COVERAGE-DR-MFT-RMM-044,MFT,File,dwagent.exe,C:\Replay\dwagent.exe,True,
DR-MFT-RMM-045,COVERAGE-DR-MFT-RMM-045,MFT,File,echoserver.exe,C:\Replay\echoserver.exe,True,
DR-MFT-RMM-046,COVERAGE-DR-MFT-RMM-046,MFT,File,ehorus standalone.exe,C:\Replay\ehorus standalone.exe,True,DR-MFT-RMM-120
DR-MFT-RMM-048,COVERAGE-DR-MFT-RMM-048,MFT,File,remoteconsole.exe,C:\Replay\remoteconsole.exe,True,
DR-MFT-RMM-243,COVERAGE-DR-MFT-RMM-243,MFT,File,accessserver.exe,C:\Replay\accessserver.exe,True,
DR-MFT-RMM-244,COVERAGE-DR-MFT-RMM-244,MFT,File,EricomConnectRemoteHost.exe,C:\Replay\EricomConnectRemoteHost.exe,True,
DR-MFT-RMM-245,COVERAGE-DR-MFT-RMM-245,MFT,File,ERAAgent.exe,C:\Replay\ERAAgent.exe,True,
DR-MFT-RMM-053,COVERAGE-DR-MFT-RMM-053,MFT,File,ExtraPuTTY-0.30-2016-01-28-installer.exe,C:\Replay\ExtraPuTTY-0.30-2016-01-28-installer.exe,True,
DR-MFT-RMM-054,COVERAGE-DR-MFT-RMM-054,MFT,File,ezHelpManager.exe,C:\Replay\ezHelpManager.exe,True,DR-MFT-RMM-245
DR-MFT-RMM-246,COVERAGE-DR-MFT-RMM-246,MFT,File,CoreAgentService.exe,C:\Replay\CoreAgentService.exe,True,
DR-MFT-RMM-247,COVERAGE-DR-MFT-RMM-247,MFT,File,DFC.exe,C:\Replay\DFC.exe,True,
DR-MFT-RMM-248,COVERAGE-DR-MFT-RMM-248,MFT,File,FRCServer.exe,C:\Replay\FRCServer.exe,True,
DR-MFT-RMM-249,COVERAGE-DR-MFT-RMM-249,MFT,File,FIStudentAgent.exe,C:\Replay\FIStudentAgent.exe,True,
DR-MFT-RMM-055,COVERAGE-DR-MFT-RMM-055,MFT,File,FastViewer.exe,C:\Replay\FastViewer.exe,True,
DR-MFT-RMM-250,COVERAGE-DR-MFT-RMM-250,MFT,File,FixMeit Client.exe,C:\Replay\FixMeit Client.exe,True,
DR-MFT-RMM-251,COVERAGE-DR-MFT-RMM-251,MFT,File,fleetdeck_agent.exe,C:\Replay\fleetdeck_agent.exe,True,
DR-MFT-RMM-059,COVERAGE-DR-MFT-RMM-059,MFT,File,nxplayer.exe,C:\Replay\nxplayer.exe,True,
DR-MFT-RMM-256,COVERAGE-DR-MFT-RMM-256,MFT,File,FSAgentAutoUpdate.exe,C:\Replay\FSAgentAutoUpdate.exe,True,
DR-MFT-RMM-061,COVERAGE-DR-MFT-RMM-061,MFT,File,getscreen-x86.exe,C:\Replay\getscreen-x86.exe,True,
DR-MFT-RMM-062,COVERAGE-DR-MFT-RMM-062,MFT,File,GoTo Assist Opener.exe,C:\Replay\GoTo Assist Opener.exe,True,
DR-MFT-RMM-260,COVERAGE-DR-MFT-RMM-260,MFT,File,GoToResolveExternalModuleHandler.exe,C:\Replay\GoToResolveExternalModuleHandler.exe,True,
DR-MFT-RMM-063,COVERAGE-DR-MFT-RMM-063,MFT,File,G2RDesktopConsole-x64.msi,C:\Replay\G2RDesktopConsole-x64.msi,True,
DR-MFT-RMM-064,COVERAGE-DR-MFT-RMM-064,MFT,File,GotoHTTP.exe,C:\Replay\GotoHTTP.exe,True,
DR-MFT-RMM-261,COVERAGE-DR-MFT-RMM-261,MFT,File,G2M.exe,C:\Replay\G2M.exe,True,
DR-MFT-RMM-067,COVERAGE-DR-MFT-RMM-067,MFT,File,GovSrv.exe,C:\Replay\GovSrv.exe,True,
DR-MFT-RMM-068,COVERAGE-DR-MFT-RMM-068,MFT,File,guacd.exe,C:\Replay\guacd.exe,True,
DR-MFT-RMM-262,COVERAGE-DR-MFT-RMM-262,MFT,File,agent-installer-any.exe,C:\Replay\agent-installer-any.exe,True,
DR-MFT-RMM-069,COVERAGE-DR-MFT-RMM-069,MFT,File,helpbeam.exe,C:\Replay\helpbeam.exe,True,
DR-MFT-RMM-070,COVERAGE-DR-MFT-RMM-070,MFT,File,HelpuManager.exe,C:\Replay\HelpuManager.exe,True,
DR-MFT-RMM-263,COVERAGE-DR-MFT-RMM-263,MFT,File,HelpWire Quick.exe,C:\Replay\HelpWire Quick.exe,True,
DR-MFT-RMM-264,COVERAGE-DR-MFT-RMM-264,MFT,File,HopToDesk.exe,C:\Replay\HopToDesk.exe,True,
DR-MFT-RMM-265,COVERAGE-DR-MFT-RMM-265,MFT,File,I'm InTouch Go Installer.exe,C:\Replay\I'm InTouch Go Installer.exe,True,
DR-MFT-RMM-266,COVERAGE-DR-MFT-RMM-266,MFT,File,IDriveWinSetup.exe,C:\Replay\IDriveWinSetup.exe,True,
DR-MFT-RMM-267,COVERAGE-DR-MFT-RMM-267,MFT,File,ImmyAgent.exe,C:\Replay\ImmyAgent.exe,True,
DR-MFT-RMM-072,COVERAGE-DR-MFT-RMM-072,MFT,File,ImperoClientSVC.exe,C:\Replay\ImperoClientSVC.exe,True,DR-MFT-RMM-296
DR-MFT-RMM-073,COVERAGE-DR-MFT-RMM-073,MFT,File,hsloader.exe,C:\Replay\hsloader.exe,True,
DR-MFT-RMM-074,COVERAGE-DR-MFT-RMM-074,MFT,File,Insync.exe,C:\Replay\Insync.exe,True,
DR-MFT-RMM-075,COVERAGE-DR-MFT-RMM-075,MFT,File,agent32.exe,C:\Replay\agent32.exe,True,
DR-MFT-RMM-268,COVERAGE-DR-MFT-RMM-268,MFT,File,DepHlp.exe,C:\Replay\DepHlp.exe,True,
DR-MFT-RMM-076,COVERAGE-DR-MFT-RMM-076,MFT,File,iperius.exe,C:\Replay\iperius.exe,True,
DR-MFT-RMM-269,COVERAGE-DR-MFT-RMM-269,MFT,File,islalwaysonmonitor.exe,C:\Replay\islalwaysonmonitor.exe,True,DR-MFT-RMM-077
DR-MFT-RMM-077,COVERAGE-DR-MFT-RMM-077,MFT,File,ISLLight.exe,C:\Replay\ISLLight.exe,True,DR-MFT-RMM-269
DR-MFT-RMM-078,COVERAGE-DR-MFT-RMM-078,MFT,File,ComodoRemoteControl.exe,C:\Replay\ComodoRemoteControl.exe,True,
DR-MFT-RMM-079,COVERAGE-DR-MFT-RMM-079,MFT,File,saazapsc.exe,C:\Replay\saazapsc.exe,True,
DR-MFT-RMM-080,COVERAGE-DR-MFT-RMM-080,MFT,File,AgentlessRC.exe,C:\Replay\AgentlessRC.exe,True,
DR-MFT-RMM-081,COVERAGE-DR-MFT-RMM-081,MFT,File,JumpCloud.exe,C:\Replay\JumpCloud.exe,True,
DR-MFT-RMM-082,COVERAGE-DR-MFT-RMM-082,MFT,File,jumpclient.exe,C:\Replay\jumpclient.exe,True,
DR-MFT-RMM-084,COVERAGE-DR-MFT-RMM-084,MFT,File,Kabuto.App.Runner.exe,C:\Replay\Kabuto.App.Runner.exe,True,DR-MFT-RMM-185
DR-MFT-RMM-271,COVERAGE-DR-MFT-RMM-271,MFT,File,KHelpDesk.exe,C:\Replay\KHelpDesk.exe,True,
DR-MFT-RMM-086,COVERAGE-DR-MFT-RMM-086,MFT,File,grabberTT.msi,C:\Replay\grabberTT.msi,True,
DR-MFT-RMM-087,COVERAGE-DR-MFT-RMM-087,MFT,File,kitty.exe,C:\Replay\kitty.exe,True,
DR-MFT-RMM-274,COVERAGE-DR-MFT-RMM-274,MFT,File,ltsvc.exe,C:\Replay\ltsvc.exe,True,DR-MFT-RMM-031|DR-MFT-RMM-275
DR-MFT-RMM-275,COVERAGE-DR-MFT-RMM-275,MFT,File,ltsvc.exe,C:\Replay\ltsvc.exe,True,DR-MFT-RMM-031|DR-MFT-RMM-274
DR-MFT-RMM-088,COVERAGE-DR-MFT-RMM-088,MFT,File,issuser.exe,C:\Replay\issuser.exe,True,
DR-MFT-RMM-089,COVERAGE-DR-MFT-RMM-089,MFT,File,OOSysAgent.exe,C:\Replay\OOSysAgent.exe,True,
DR-MFT-RMM-090,COVERAGE-DR-MFT-RMM-090,MFT,File,laplink.exe,C:\Replay\laplink.exe,True,DR-MFT-RMM-089
